,Feature,Importance
14,latency_ns,0.5218040007692676
9,host_processor_model_name,0.06498591304916825
8,host_processor_core_count,0.05115724734743832
12,operating_system,0.04361612064182144
13,other_software_stack,0.04264882555005525
11,host_storage_type,0.042270877689114535
7,host_memory_capacity,0.03910089400446726
1,accelerator_interconnect,0.03519257242976728
6,framework,0.02840502016116699
4,accelerator_model_name,0.027775190014461763
2,accelerator_memory_capacity,0.026464309319720134
3,accelerator_memory_configuration,0.02484594300519764
0,accelerator_host_interconnect,0.024358402545717868
5,accelerators_per_node,0.018712687792204915
10,host_processors_per_node,0.008661995680430891
